Wall time,Step,Value
1608342081.647677,0,7.093691349029541
1608342127.477068,1,0.3421419858932495
1608342173.660753,2,0.13112984597682953
1608342220.311668,3,0.09423469752073288
1608342266.724679,4,0.07192254811525345
1608342313.686393,5,0.058743901550769806
1608342359.80239,6,0.04774460941553116
1608342406.067388,7,0.07377967983484268
1608342452.277494,8,0.0455167330801487
1608342498.029743,9,0.03589390218257904
1608342543.922835,10,0.0704360157251358
1608342590.341408,11,0.09578470140695572
