Wall time,Step,Value
1608338987.003553,0,5.280190467834473
1608339061.880951,1,0.5966739058494568
1608339137.227099,2,0.24398764967918396
1608339212.690228,3,0.1373170167207718
1608339288.2175858,4,0.09654779732227325
1608339363.828479,5,0.10953045636415482
1608339439.459277,6,0.11502080410718918
1608339515.111073,7,0.08679281920194626
1608339590.809757,8,0.07019273936748505
1608339666.516263,9,0.08581254631280899
1608339742.171841,10,0.07744041830301285
1608339817.880895,11,0.05821975693106651
